Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
2,7.02,7.02,1,6.85,6.85,3,7.14,7.14,4,7.27,7.27
2,8.97,15.99,1,8.95,15.80,3,9.07,16.21,4,9.02,16.29
2,8.47,24.46,1,8.46,24.26,3,8.31,24.52,4,8.35,24.64
3,8.66,33.12,1,8.52,32.78,2,8.50,33.02,4,8.51,33.15
2,9.07,42.189,1,8.77,41.544,3,9.77,42.790,0,,PEN
