BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Stanislav OMELCHENKO POSITION,Stanislav OMELCHENKO LAP TIME,Stanislav OMELCHENKO ELAPSED TIME,Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME
1,13.22,13.22,2,13.34,13.34,5,13.72,13.72,4,13.63,13.63,3,13.48,13.48
1,9.85,23.07,2,9.82,23.16,4,9.66,23.38,5,9.90,23.53,3,9.79,23.27
1,9.35,32.42,2,9.36,32.52,4,9.34,32.72,5,9.34,32.87,3,9.37,32.64
1,9.23,41.65,2,9.24,41.76,4,9.24,41.96,5,9.33,42.20,3,9.25,41.89
1,9.19,50.84,2,9.18,50.94,4,9.19,51.15,5,9.33,51.53,3,9.22,51.11
1,9.21,1:00.05,2,9.20,1:00.14,3,9.07,1:00.22,5,9.55,1:01.08,4,9.63,1:00.74
1,9.22,1:09.27,2,9.23,1:09.37,3,9.23,1:09.45,5,9.77,1:10.85,4,9.98,1:10.72
2,9.34,1:18.61,1,9.12,1:18.49,2,9.16,1:18.61,5,10.15,1:21.00,4,10.10,1:20.82
3,9.47,1:28.08,1,9.25,1:27.74,2,9.24,1:27.85,5,10.41,1:31.411,4,10.51,1:31.330
