KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,VELZEBOER Xandra POSITION,VELZEBOER Xandra LAP TIME,VELZEBOER Xandra ELAPSED TIME
5,9.93,9.93,2,9.71,9.71,1,9.63,9.63,6,10.01,10.01,7,10.08,10.08,3,9.75,9.75,4,9.90,9.90
5,12.90,22.83,4,13.00,22.71,2,12.82,22.45,6,12.98,22.99,7,13.07,23.15,1,12.60,22.35,3,12.63,22.53
5,13.19,36.02,4,13.16,35.87,2,13.10,35.55,6,13.21,36.20,7,13.19,36.34,1,13.14,35.49,3,13.18,35.71
5,13.47,49.49,1,13.23,49.10,1,13.55,49.10,6,13.44,49.64,7,13.46,49.80,3,13.65,49.14,4,13.58,49.29
5,12.73,1:02.22,2,12.80,1:01.90,1,12.68,1:01.78,6,12.67,1:02.31,7,12.66,1:02.46,3,12.84,1:01.98,4,12.83,1:02.12
7,12.46,1:14.68,2,12.41,1:14.31,1,12.36,1:14.14,4,12.16,1:14.47,6,12.12,1:14.58,3,12.43,1:14.41,5,12.39,1:14.51
7,9.95,1:24.63,2,9.88,1:24.19,4,10.21,1:24.35,1,9.53,1:24.00,3,9.64,1:24.22,4,9.94,1:24.35,6,9.90,1:24.41
6,9.29,1:33.92,3,9.52,1:33.71,7,9.79,1:34.14,1,9.45,1:33.45,2,9.36,1:33.58,4,9.37,1:33.72,5,9.44,1:33.85
6,9.68,1:43.60,5,9.81,1:43.52,7,9.66,1:43.80,1,9.60,1:43.05,2,9.56,1:43.14,3,9.58,1:43.30,4,9.56,1:43.41
6,9.40,1:53.00,5,9.38,1:52.90,7,9.77,1:53.57,1,9.36,1:52.41,2,9.39,1:52.53,3,9.41,1:52.71,4,9.37,1:52.78
6,9.36,2:02.36,5,9.37,2:02.27,7,10.22,2:03.79,1,9.32,2:01.73,2,9.29,2:01.82,4,9.47,2:02.18,3,9.37,2:02.15
4,9.50,2:11.86,5,9.69,2:11.96,7,10.76,2:14.55,1,9.41,2:11.14,2,9.41,2:11.23,6,9.96,2:12.14,3,9.60,2:11.75
3,9.84,2:21.70,4,9.83,2:21.79,7,11.18,2:25.73,1,9.64,2:20.78,2,9.64,2:20.87,6,10.52,2:22.66,5,10.05,2:21.80
3,9.39,2:31.096,4,10.21,2:32.009,7,11.66,2:37.390,1,10.22,2:31.00,2,10.19,2:31.06,6,11.53,2:34.196,5,10.70,2:32.507
