POT Marlena POSITION,POT Marlena LAP TIME,POT Marlena ELAPSED TIME,Simona TOMSIKOVA POSITION,Simona TOMSIKOVA LAP TIME,Simona TOMSIKOVA ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
4,17.251,17.251,2,17.116,17.116,1,17.088,17.088,3,17.226,17.226
4,12.381,29.632,2,12.330,29.446,1,12.298,29.385,3,12.296,29.522
1,10.696,40.328,3,11.207,40.653,2,11.053,40.438,4,11.190,40.711
1,10.602,50.929,4,10.768,51.420,2,10.604,51.042,3,10.429,51.139
1,10.310,1:01.238,4,10.896,1:02.316,2,10.338,1:01.379,3,10.346,1:01.485
3,10.520,1:11.758,4,10.754,1:13.070,1,10.160,1:11.538,2,10.234,1:11.719
3,10.628,1:22.385,4,11.082,1:24.151,1,10.436,1:21.974,2,10.454,1:22.172
3,10.836,1:33.220,4,11.413,1:35.564,1,10.892,1:32.866,2,10.843,1:33.015
3,10.68,1:43.894,4,11.44,1:46.995,2,10.92,1:43.777,1,10.55,1:43.562
