Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
2,6.88,6.88,1,6.87,6.87,3,7.03,7.03,4,7.21,7.21
1,8.90,15.78,2,9.00,15.87,3,9.00,16.03,4,9.03,16.24
1,8.47,24.25,2,8.46,24.33,3,8.45,24.48,4,8.48,24.72
1,8.60,32.85,2,8.60,32.93,3,8.54,33.02,4,8.49,33.21
3,37.68,1:10.530,0,,PEN,1,8.87,41.882,2,8.76,41.970
