Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
3,7.17,7.17,1,6.80,6.80,2,6.91,6.91,4,7.20,7.20
3,9.17,16.34,1,9.26,16.06,2,9.29,16.20,4,9.29,16.49
2,8.53,24.87,1,8.65,24.71,3,8.73,24.93,4,8.55,25.04
2,8.88,33.75,1,8.95,33.66,3,9.09,34.02,4,9.11,34.15
2,9.06,42.801,1,8.94,42.591,3,9.14,43.159,4,9.08,43.225
