NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,JUNG Yanghun Ben POSITION,JUNG Yanghun Ben LAP TIME,JUNG Yanghun Ben ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,ROSS-WADDELL Kyle POSITION,ROSS-WADDELL Kyle LAP TIME,ROSS-WADDELL Kyle ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME
2,13.96,13.96,4,14.19,14.19,3,14.11,14.11,1,13.82,13.82,5,14.28,14.28,6,14.39,14.39
3,10.66,24.62,4,10.55,24.74,2,10.44,24.55,1,10.71,24.53,5,10.58,24.86,6,10.65,25.04
3,9.76,34.38,4,9.77,34.51,1,9.58,34.13,2,9.69,34.22,5,9.78,34.64,6,9.76,34.80
3,9.29,43.67,4,9.26,43.77,1,9.33,43.46,2,9.35,43.57,5,9.23,43.87,6,9.40,44.20
3,9.09,52.76,4,9.12,52.89,1,9.18,52.64,2,9.17,52.74,5,9.16,53.03,6,9.28,53.48
2,8.95,1:01.71,4,9.05,1:01.94,1,8.96,1:01.60,3,9.09,1:01.83,5,9.02,1:02.05,6,9.47,1:02.95
2,8.80,1:10.51,3,8.90,1:10.84,1,8.86,1:10.46,4,9.02,1:10.85,5,9.12,1:11.17,6,9.94,1:12.89
1,8.82,1:19.33,4,9.35,1:20.19,2,9.04,1:19.50,3,9.13,1:19.98,5,9.34,1:20.51,6,10.75,1:23.64
1,8.95,1:28.286,4,9.39,1:29.583,2,9.11,1:28.610,3,9.30,1:29.285,5,9.42,1:29.932,6,11.13,1:34.770
