SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
4,7.94,7.94,1,7.48,7.48,2,7.59,7.59,3,7.74,7.74,5,7.96,
5,9.98,17.92,1,9.66,17.14,2,9.68,17.27,3,9.60,17.34,4,9.51,
5,9.33,27.25,1,9.03,26.17,2,9.04,26.31,3,9.04,26.38,4,9.07,
5,9.45,36.70,1,9.15,35.32,1,9.01,35.32,3,9.08,35.46,4,9.03,
3,9.68,46.373,1,9.40,44.716,2,9.50,44.814,4,22.20,57.652,3,9.75,
