BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME
1,13.46,13.46,2,13.55,13.55,5,13.85,13.85,4,13.84,13.84,3,13.71,13.71
2,10.24,23.70,3,10.25,23.80,5,10.24,24.09,1,9.78,23.62,4,10.25,23.96
2,9.54,33.24,3,9.59,33.39,5,9.54,33.63,1,9.60,33.22,4,9.54,33.50
1,9.20,42.44,3,9.26,42.65,5,9.27,42.90,2,9.33,42.55,4,9.26,42.76
1,9.41,51.85,3,9.37,52.02,5,9.36,52.26,2,9.40,51.95,4,9.33,52.09
1,9.30,1:01.15,3,9.38,1:01.40,5,9.26,1:01.52,2,9.21,1:01.16,4,9.38,1:01.47
1,9.02,1:10.17,5,9.61,1:11.01,4,9.28,1:10.80,2,9.15,1:10.31,3,9.29,1:10.76
1,9.04,1:19.21,5,10.53,1:21.54,4,9.42,1:20.22,3,9.29,1:19.60,2,8.62,1:19.38
1,9.38,1:28.59,5,11.09,1:32.63,4,9.46,1:29.68,3,9.51,1:29.11,2,9.41,1:28.79
