KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Necmettin Berk YETISKEN POSITION,Necmettin Berk YETISKEN LAP TIME,Necmettin Berk YETISKEN ELAPSED TIME
1,8.21,8.21,2,8.24,8.24,6,8.64,8.64,3,8.38,8.38,5,8.50,8.50,4,8.43,8.43,7,8.73,8.73
2,11.03,19.24,3,11.12,19.36,6,11.10,19.74,4,11.11,19.49,5,11.13,19.63,1,10.66,19.09,7,11.09,19.82
2,10.36,29.60,4,10.34,29.70,6,10.02,29.76,3,10.18,29.67,7,10.22,29.85,1,10.45,29.54,5,9.92,29.74
3,10.40,40.00,1,9.91,39.61,5,10.44,40.20,4,10.41,40.08,6,10.43,40.28,2,10.35,39.89,7,10.62,40.36
3,9.72,49.72,1,9.85,49.46,5,9.68,49.88,4,9.72,49.80,6,9.73,50.01,2,9.76,49.65,7,9.80,50.16
4,9.91,59.63,2,9.96,59.42,1,9.46,59.34,5,9.90,59.70,6,9.76,59.77,3,9.90,59.55,7,9.74,59.90
2,9.44,1:09.07,3,9.65,1:09.07,1,9.62,1:08.96,5,9.60,1:09.30,6,9.71,1:09.48,4,9.68,1:09.23,7,9.74,1:09.64
2,9.49,1:18.56,3,9.64,1:18.71,1,9.50,1:18.46,4,9.45,1:18.75,5,9.38,1:18.86,6,9.82,1:19.05,7,9.68,1:19.32
2,9.45,1:28.01,5,9.58,1:28.29,1,9.45,1:27.91,3,9.35,1:28.10,4,9.33,1:28.19,6,9.71,1:28.76,7,9.69,1:29.01
1,9.07,1:37.08,5,9.61,1:37.90,2,9.27,1:37.18,3,9.17,1:37.27,4,9.21,1:37.40,6,9.91,1:38.67,7,9.77,1:38.78
1,9.10,1:46.18,5,9.77,1:47.67,2,9.09,1:46.27,3,9.08,1:46.35,4,9.05,1:46.45,7,10.14,1:48.81,6,9.94,1:48.72
1,9.08,1:55.26,5,10.09,1:57.76,2,9.08,1:55.35,3,9.01,1:55.36,4,9.10,1:55.55,7,10.45,1:59.26,6,10.45,1:59.17
1,9.18,2:04.44,4,10.37,2:08.13,7,25.41,2:20.76,3,11.50,2:06.86,2,10.19,2:05.74,6,11.31,2:10.57,5,11.11,2:10.28
1,9.63,2:14.065,3,10.17,2:18.292,0,,PEN,4,11.46,2:18.318,2,10.44,2:16.172,6,12.12,2:22.689,5,11.49,2:21.769
