Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
1,13.39,13.39,3,13.69,13.69,4,13.80,13.80,2,13.54,13.54
1,10.90,24.29,3,10.89,24.58,4,10.79,24.59,2,10.89,24.43
1,10.83,35.12,4,10.97,35.55,3,10.69,35.28,2,10.84,35.27
1,10.15,45.27,3,10.14,45.69,2,10.11,45.39,4,10.42,45.69
1,10.08,55.35,3,9.96,55.65,2,10.06,55.45,4,10.04,55.73
1,10.04,1:05.39,3,10.01,1:05.66,2,10.15,1:05.60,4,10.22,1:05.95
2,10.83,1:16.22,1,10.54,1:16.20,3,10.88,1:16.48,4,11.11,1:17.06
2,8.91,1:25.13,1,8.66,1:24.86,3,9.19,1:25.67,4,9.75,1:26.81
2,10.07,1:35.198,1,10.07,1:34.925,3,10.65,1:36.312,4,11.37,1:38.175
