Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
4,13.74,13.74,1,13.46,13.46,3,13.65,13.65,5,13.84,13.84,2,13.56,13.56
3,10.29,24.03,2,10.50,23.96,4,10.40,24.05,5,10.37,24.21,1,10.29,23.85
4,10.51,34.54,2,10.48,34.44,3,10.48,34.53,5,10.47,34.68,1,10.50,34.35
4,9.90,44.44,3,9.92,44.36,1,9.56,44.09,5,9.87,44.55,2,9.93,44.28
4,9.87,54.31,3,9.85,54.21,1,9.95,54.04,5,9.84,54.39,2,9.85,54.13
4,9.86,1:04.17,3,9.86,1:04.07,1,9.84,1:03.88,5,9.88,1:04.27,2,9.85,1:03.98
4,9.61,1:13.78,3,9.63,1:13.70,1,9.63,1:13.51,5,9.60,1:13.87,2,9.64,1:13.62
3,9.98,1:23.76,1,9.87,1:23.57,5,1:00.85,2:14.36,2,9.85,1:23.72,4,48.88,2:02.50
3,10.26,1:34.016,1,9.80,1:33.369,5,18.39,2:32.747,2,9.75,1:33.464,4,18.67,2:21.161
