Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
2,13.13,13.13,1,13.05,13.05,3,13.23,13.23,5,13.42,13.42,4,13.35,13.35
3,10.10,23.23,2,10.05,23.10,1,9.74,22.97,5,9.99,23.41,4,9.98,23.33
3,9.58,32.81,2,9.61,32.71,1,9.66,32.63,5,9.59,33.00,4,9.58,32.91
3,9.75,42.56,2,9.75,42.46,1,9.78,42.41,5,9.73,42.73,4,9.69,42.60
5,9.75,52.31,2,9.46,51.92,1,9.45,51.86,4,9.43,52.16,3,9.45,52.05
5,9.53,1:01.84,1,9.24,1:01.16,2,9.43,1:01.29,4,9.46,1:01.62,3,9.36,1:01.41
5,9.67,1:11.51,1,9.48,1:10.64,2,9.42,1:10.71,4,9.40,1:11.02,3,9.40,1:10.81
5,9.97,1:21.48,1,9.71,1:20.35,2,9.72,1:20.43,4,9.64,1:20.66,3,9.70,1:20.51
5,10.38,1:31.845,1,9.84,1:30.19,2,9.82,1:30.25,4,10.00,1:30.645,3,9.83,1:30.34
