Timur ZAKHAROV POSITION,Timur ZAKHAROV LAP TIME,Timur ZAKHAROV ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
1,9.56,9.56,5,9.97,9.97,7,10.06,10.06,2,9.71,9.71,3,9.81,9.81,4,9.86,9.86,8,10.23,10.23,6,10.03,10.03
5,12.68,22.24,6,12.34,22.31,8,12.34,22.40,7,12.62,22.33,4,12.30,22.11,2,12.18,22.04,3,11.82,22.05,1,11.94,21.97
6,10.58,32.82,2,10.21,32.52,8,10.63,33.03,7,10.58,32.91,5,10.66,32.77,4,10.65,32.69,1,10.38,32.43,3,10.62,32.59
7,10.98,43.80,2,10.88,43.40,8,10.82,43.85,6,10.85,43.76,5,10.92,43.69,4,10.91,43.60,1,10.84,43.27,3,10.89,43.48
2,10.04,53.84,1,10.35,53.75,8,10.48,54.33,7,10.46,54.22,6,10.41,54.10,5,10.48,54.08,3,10.68,53.95,4,10.52,54.00
4,10.24,1:04.08,2,10.15,1:03.90,8,10.06,1:04.39,7,10.01,1:04.23,6,10.12,1:04.22,4,10.00,1:04.08,1,9.89,1:03.84,3,9.93,1:03.93
5,9.46,1:13.54,4,9.54,1:13.44,8,9.40,1:13.79,6,9.40,1:13.63,7,9.51,1:13.73,3,9.26,1:13.34,2,9.48,1:13.32,1,9.36,1:13.29
5,9.52,1:23.06,4,9.54,1:22.98,8,9.59,1:23.38,6,9.53,1:23.16,7,9.53,1:23.26,1,9.38,1:22.72,3,9.57,1:22.89,2,9.50,1:22.79
5,9.63,1:32.69,4,9.60,1:32.58,8,9.54,1:32.92,6,9.58,1:32.74,7,9.52,1:32.78,1,9.58,1:32.30,3,9.58,1:32.47,2,9.59,1:32.38
6,9.45,1:42.14,4,9.47,1:42.05,8,9.52,1:42.44,5,9.38,1:42.12,7,9.52,1:42.30,2,9.52,1:41.82,3,9.50,1:41.97,1,9.36,1:41.74
6,9.52,1:51.66,4,9.18,1:51.23,8,9.51,1:51.95,5,9.36,1:51.48,7,9.38,1:51.68,2,9.24,1:51.06,3,9.13,1:51.10,1,9.24,1:50.98
6,9.12,2:00.78,3,9.22,2:00.45,8,9.72,2:01.67,5,9.18,2:00.66,7,9.42,2:01.10,2,9.19,2:00.25,4,9.48,2:00.58,1,9.13,2:00.11
5,9.23,2:10.01,3,9.24,2:09.69,8,10.13,2:11.80,6,9.60,2:10.26,7,9.41,2:10.51,2,9.12,2:09.37,4,9.23,2:09.81,1,9.19,2:09.30
5,9.34,2:19.322,3,9.28,2:18.947,8,10.57,2:22.352,6,9.73,2:19.963,7,9.53,2:20.013,2,9.43,2:18.779,4,9.28,2:19.067,1,9.46,2:18.736
