HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,YANG Shuai POSITION,YANG Shuai LAP TIME,YANG Shuai ELAPSED TIME
4,12.63,12.63,1,12.53,12.53,2,12.54,12.54,3,12.61,12.61,5,12.87,12.87
4,9.95,22.58,1,9.85,22.38,5,10.15,22.69,2,9.84,22.45,2,9.58,22.45
3,9.51,32.09,2,9.63,32.01,5,9.53,32.22,4,9.67,32.12,1,9.41,31.86
3,9.40,41.49,2,9.37,41.38,4,9.39,41.61,5,9.59,41.71,1,9.41,41.27
3,9.38,50.87,2,9.39,50.77,4,9.35,50.96,5,9.37,51.08,1,9.31,50.58
3,9.05,59.92,2,9.10,59.87,4,9.05,1:00.01,5,9.08,1:00.16,1,9.18,59.76
2,8.95,1:08.87,4,9.15,1:09.02,3,8.94,1:08.95,4,8.86,1:09.02,1,9.01,1:08.77
1,8.93,1:17.80,5,9.21,1:18.23,2,8.91,1:17.86,4,9.07,1:18.09,3,9.15,1:17.92
1,8.95,1:26.75,5,9.43,1:27.667,2,8.99,1:26.85,3,8.97,1:27.06,4,9.59,1:27.516
