JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Debora SECCHI POSITION,Debora SECCHI LAP TIME,Debora SECCHI ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
2,9.74,9.74,3,9.78,9.78,4,9.79,9.79,1,9.58,9.58,5,9.88,9.88
4,14.24,23.98,2,13.89,23.68,3,13.96,23.75,1,14.03,23.62,5,14.23,24.11
4,13.36,37.35,2,13.52,37.20,3,13.47,37.23,1,13.48,37.11,5,13.49,37.61
4,12.75,50.10,2,12.77,49.98,3,12.80,50.03,1,12.82,49.93,5,12.71,50.33
5,12.12,1:02.23,2,12.05,1:02.03,3,12.05,1:02.08,1,12.02,1:01.96,4,11.89,1:02.22
4,11.66,1:13.89,3,11.80,1:13.84,1,11.50,1:13.59,2,11.65,1:13.61,5,11.90,1:14.12
3,10.49,1:24.38,5,10.73,1:24.57,1,10.65,1:24.24,2,10.72,1:24.34,4,10.44,1:24.57
3,10.30,1:34.68,5,10.29,1:34.86,1,10.38,1:34.63,2,10.32,1:34.67,4,10.22,1:34.80
3,10.34,1:45.02,5,10.60,1:45.47,1,10.32,1:44.95,2,10.30,1:44.98,4,10.45,1:45.25
2,9.46,1:54.49,5,10.01,1:55.48,1,9.42,1:54.38,3,9.79,1:54.77,4,9.80,1:55.05
2,9.61,2:04.11,5,10.11,2:05.59,1,9.63,2:04.01,3,9.65,2:04.42,4,9.95,2:05.01
1,9.61,2:13.72,5,10.57,2:16.16,2,9.89,2:13.91,3,9.98,2:14.41,4,10.31,2:15.32
1,9.75,2:23.48,5,10.77,2:26.94,2,10.18,2:24.09,3,10.02,2:24.43,4,10.58,2:25.90
1,10.37,2:33.849,5,11.05,2:37.983,3,10.69,2:34.774,2,10.30,2:34.725,4,11.08,2:36.979
