WANG Xingchun POSITION,WANG Xingchun LAP TIME,WANG Xingchun ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
4,9.45,9.45,2,9.00,9.00,5,9.55,9.55,6,9.72,9.72,1,8.85,8.85,7,9.94,9.94,3,9.28,9.28
4,11.15,20.60,2,11.36,20.36,5,11.20,20.75,6,11.18,20.90,1,11.39,20.24,7,11.10,21.04,3,11.16,20.44
4,10.83,31.43,2,10.86,31.22,6,10.75,31.50,5,10.57,31.47,1,10.87,31.11,7,10.69,31.73,3,10.88,31.32
4,10.75,42.18,3,10.84,42.06,5,10.77,42.27,6,10.86,42.33,1,10.74,41.85,7,10.72,42.45,2,10.63,41.95
3,10.59,52.77,2,10.63,52.69,5,10.65,52.92,6,10.72,53.05,1,10.75,52.60,7,10.79,53.24,4,10.83,52.78
5,10.82,1:03.59,3,10.71,1:03.40,4,10.57,1:03.49,6,10.64,1:03.69,1,10.60,1:03.20,7,10.60,1:03.84,2,10.51,1:03.29
5,10.49,1:14.08,4,10.54,1:13.94,3,10.39,1:13.88,6,10.70,1:14.39,1,10.51,1:13.71,7,10.56,1:14.40,2,10.56,1:13.85
1,9.89,1:23.97,6,10.50,1:24.44,4,10.30,1:24.18,5,9.92,1:24.31,2,10.28,1:23.99,7,10.30,1:24.70,3,10.27,1:24.12
1,9.85,1:33.82,6,9.78,1:34.22,3,9.77,1:33.95,5,9.73,1:34.04,2,9.88,1:33.87,7,10.08,1:34.78,4,9.83,1:33.95
1,9.63,1:43.45,6,9.71,1:43.93,3,9.73,1:43.68,5,9.85,1:43.89,2,9.68,1:43.55,7,10.25,1:45.03,4,9.85,1:43.80
1,9.72,1:53.17,6,9.80,1:53.73,3,9.69,1:53.37,5,9.69,1:53.58,2,9.65,1:53.20,7,10.65,1:55.68,4,9.59,1:53.39
2,9.55,2:02.72,6,9.72,2:03.45,4,9.55,2:02.92,5,9.62,2:03.20,1,9.41,2:02.61,7,11.05,2:06.73,3,9.51,2:02.90
3,9.51,2:12.23,6,9.86,2:13.31,2,9.29,2:12.21,5,9.79,2:12.99,1,9.49,2:12.10,7,11.42,2:18.15,4,9.53,2:12.43
0,,DNF,5,9.99,2:23.299,2,9.63,2:21.840,4,10.14,2:23.122,1,9.63,2:21.721,6,11.66,2:29.806,3,9.77,2:22.197
