EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,GAGNON Claudia POSITION,GAGNON Claudia LAP TIME,GAGNON Claudia ELAPSED TIME,ZHANG Chutong POSITION,ZHANG Chutong LAP TIME,ZHANG Chutong ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME
2,13.33,13.33,5,13.57,13.57,1,13.28,13.28,4,13.55,,3,13.44,13.44
1,9.60,22.93,5,9.80,23.37,2,9.75,23.03,4,9.68,,3,9.72,23.16
1,9.62,32.55,5,9.60,32.97,2,9.61,32.64,4,9.62,,3,9.62,32.78
2,9.77,42.32,4,9.53,42.50,1,9.56,42.20,5,9.73,,3,9.64,42.42
1,9.67,51.99,5,9.85,52.35,2,9.88,52.08,4,9.70,,3,9.76,52.18
1,9.62,1:01.61,5,9.66,1:02.01,2,9.62,1:01.70,4,9.64,,3,9.62,1:01.80
1,9.74,1:11.35,5,9.71,1:11.72,2,9.75,1:11.45,4,9.71,,3,9.75,1:11.55
1,9.84,1:21.19,5,9.82,1:21.54,2,9.82,1:21.27,4,9.72,,3,9.77,1:21.32
2,9.93,1:31.12,3,20.57,1:42.112,4,33.28,1:54.559,4,28.28,,1,9.44,1:30.76
