YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
1,12.88,12.88,2,12.98,12.98,3,13.00,13.00,4,13.06,13.06
2,9.38,22.26,1,9.22,22.20,4,9.49,22.49,3,9.30,22.36
2,9.23,31.49,1,9.22,31.42,4,9.18,31.67,3,9.21,31.57
2,9.05,40.54,1,9.06,40.48,4,9.06,40.73,3,8.99,40.56
1,8.78,49.32,2,8.93,49.41,3,8.77,49.50,4,9.03,49.59
1,8.86,58.18,2,8.94,58.35,3,8.93,58.43,4,8.90,58.49
2,8.97,1:07.15,1,8.73,1:07.08,3,8.79,1:07.22,4,8.88,1:07.37
3,9.04,1:16.19,1,8.70,1:15.78,2,8.80,1:16.02,4,8.99,1:16.36
4,19.63,1:35.820,1,8.89,1:24.669,2,8.83,1:24.843,3,9.40,1:25.757
