HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
3,6.73,6.73,4,7.01,7.01,1,6.64,6.64,2,6.72,6.72
1,8.75,15.48,4,8.86,15.87,3,9.13,15.77,2,8.90,15.63
1,8.52,24.01,3,8.24,24.12,4,8.44,24.22,2,8.45,24.08
1,8.48,32.50,2,8.39,32.51,4,35.13,59.36,3,8.69,32.77
1,8.72,41.218,2,8.83,41.336,4,21.18,1:20.533,3,9.19,41.960
