John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
4,10.08,10.08,1,9.90,9.90,2,9.93,9.93,5,10.12,10.12,3,9.99,9.99
3,15.13,25.21,5,15.42,25.32,2,15.27,25.20,4,15.20,25.32,1,15.06,25.05
1,13.28,38.49,4,13.38,38.70,3,13.43,38.63,5,13.51,38.83,2,13.57,38.62
2,12.86,51.35,3,12.74,51.44,1,12.57,51.20,5,12.78,51.61,4,12.92,51.54
2,12.61,1:03.96,4,12.62,1:04.06,1,12.74,1:03.94,5,12.58,1:04.19,3,12.46,1:04.00
4,11.19,1:15.15,3,11.09,1:15.15,2,11.06,1:15.00,5,11.14,1:15.33,1,10.91,1:14.91
1,10.19,1:25.34,4,10.55,1:25.70,3,10.57,1:25.57,5,10.43,1:25.76,2,10.56,1:25.47
1,9.98,1:35.32,3,9.86,1:35.56,4,10.09,1:35.66,5,10.02,1:35.78,2,10.00,1:35.47
1,9.56,1:44.88,3,9.59,1:45.15,4,9.55,1:45.21,5,9.55,1:45.33,2,9.54,1:45.01
1,9.33,1:54.21,3,9.26,1:54.41,4,9.31,1:54.52,5,9.27,1:54.60,2,9.31,1:54.32
1,9.01,2:03.22,3,9.05,2:03.46,4,9.02,2:03.54,5,9.12,2:03.72,2,9.04,2:03.36
1,8.94,2:12.16,3,8.87,2:12.33,4,8.87,2:12.41,5,8.96,2:12.68,2,8.81,2:12.17
4,9.31,2:21.47,2,8.83,2:21.16,3,8.91,2:21.32,5,9.14,2:21.82,1,8.92,2:21.09
3,9.35,2:30.812,1,9.02,2:30.172,0,,PEN,4,9.38,2:31.198,2,9.21,2:30.300
