KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,12.47,12.47,3,12.55,12.55,1,12.39,12.39,4,12.64,12.64,5,12.80,12.80
2,9.69,22.16,3,9.71,22.26,1,9.66,22.05,4,9.65,22.29,5,9.60,22.40
2,9.02,31.18,4,9.12,31.38,1,9.12,31.17,3,8.92,31.21,5,9.13,31.53
1,9.03,40.21,4,9.05,40.43,3,9.25,40.42,2,9.12,40.33,5,9.08,40.61
1,9.12,49.33,3,9.10,49.53,4,9.21,49.63,2,9.11,49.44,5,9.11,49.72
1,9.01,58.34,3,9.02,58.55,4,8.99,58.62,2,8.99,58.43,5,9.04,58.76
1,8.96,1:07.30,3,8.93,1:07.48,4,8.96,1:07.58,2,8.96,1:07.39,5,8.93,1:07.69
1,9.03,1:16.33,3,9.04,1:16.52,4,9.06,1:16.64,2,9.04,1:16.43,5,9.03,1:16.72
1,9.09,1:25.413,0,,PEN,3,9.16,1:25.795,2,9.32,1:25.744,4,9.21,1:25.925
