KIM Byungjoon POSITION,KIM Byungjoon LAP TIME,KIM Byungjoon ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
2,13.41,13.41,1,13.28,13.28,3,13.54,13.54,4,13.70,13.70
1,10.43,23.84,2,10.62,23.90,3,10.47,24.01,4,10.55,24.25
1,9.87,33.71,2,9.90,33.80,3,9.88,33.89,4,9.72,33.97
1,9.81,43.52,2,9.82,43.62,3,9.86,43.75,4,9.86,43.83
2,9.49,53.01,1,9.27,52.89,3,9.37,53.12,4,9.39,53.22
2,9.13,1:02.14,1,9.17,1:02.06,3,9.16,1:02.28,4,9.18,1:02.40
2,9.16,1:11.30,1,9.11,1:11.17,4,9.32,1:11.60,3,9.01,1:11.41
2,9.30,1:20.60,1,9.28,1:20.45,4,9.41,1:21.01,3,9.27,1:20.68
2,9.46,1:30.053,1,9.44,1:29.886,4,9.61,1:30.620,3,9.39,1:30.066
