Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
2,13.50,13.50,3,13.54,13.54,1,13.38,13.38,4,13.74,13.74
1,10.98,24.48,3,11.04,24.58,2,11.11,24.49,4,11.16,24.90
2,10.74,35.22,3,10.72,35.30,1,10.71,35.20,4,10.52,35.42
2,10.11,45.33,3,10.05,45.35,1,9.99,45.19,4,10.05,45.47
2,9.68,55.01,4,9.86,55.21,1,9.71,54.90,3,9.66,55.13
2,9.56,1:04.57,4,9.59,1:04.80,1,9.58,1:04.48,3,9.54,1:04.67
1,8.99,1:13.56,4,9.37,1:14.17,3,9.47,1:13.95,2,9.05,1:13.72
1,9.27,1:22.83,4,9.87,1:24.04,3,9.22,1:23.17,2,9.25,1:22.97
1,9.22,1:32.048,4,10.17,1:34.204,3,9.33,1:32.492,2,9.14,1:32.104
