ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME
2,7.05,7.05,1,6.82,6.82,3,7.12,7.12,5,7.22,7.22,4,7.19,7.19
3,9.24,16.29,1,8.81,15.63,3,9.17,16.29,5,9.09,16.31,2,8.99,16.18
5,8.86,25.15,1,8.25,23.88,4,8.67,24.96,3,8.40,24.71,2,8.40,24.58
5,8.75,33.90,1,8.37,32.25,4,8.50,33.46,3,8.36,33.07,2,8.44,33.02
4,9.02,42.92,1,8.62,40.87,3,8.78,42.24,2,8.59,41.66,5,32.93,1:05.95
