Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,6.73,6.73,2,6.90,6.90,3,7.02,7.02,4,7.18,7.18
1,8.93,15.66,2,8.97,15.87,3,9.00,16.02,4,8.92,16.10
1,8.58,24.24,2,8.51,24.38,4,8.58,24.60,3,8.36,24.46
1,8.68,32.92,3,8.72,33.10,4,8.71,33.31,2,8.52,32.98
2,8.97,41.887,3,8.87,41.966,4,8.92,42.222,1,8.83,41.805
