Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
1,6.80,6.80,3,7.04,7.04,2,6.89,6.89,4,7.18,7.18
1,9.12,15.92,2,8.99,16.03,3,9.25,16.14,4,9.05,16.23
1,8.47,24.39,2,8.44,24.47,3,8.49,24.63,4,8.59,24.82
3,14.88,39.27,1,8.58,33.05,4,20.20,44.83,2,8.75,33.57
3,14.90,54.161,1,9.10,42.142,4,13.36,58.181,2,9.05,42.617
