Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
5,9.89,9.89,1,9.40,9.40,3,9.69,9.69,2,9.58,9.58,4,9.70,9.70
5,12.39,22.28,1,12.38,21.78,3,12.29,21.98,2,12.30,21.88,4,12.39,22.09
5,11.94,34.22,1,11.86,33.64,3,11.88,33.86,2,11.89,33.77,4,11.91,34.00
5,11.76,45.98,1,11.87,45.51,3,11.86,45.72,2,11.86,45.63,4,11.78,45.78
5,11.65,57.63,1,11.68,57.19,3,11.66,57.38,2,11.69,57.32,4,11.62,57.40
5,10.47,1:08.10,2,10.49,1:07.68,4,10.56,1:07.94,3,10.47,1:07.79,1,10.07,1:07.47
5,9.73,1:17.83,2,9.98,1:17.66,4,9.87,1:17.81,3,9.96,1:17.75,1,10.11,1:17.58
2,9.77,1:27.60,4,10.14,1:27.80,5,10.29,1:28.10,3,9.96,1:27.71,1,10.01,1:27.59
1,9.85,1:37.45,4,9.92,1:37.72,5,10.43,1:38.53,3,9.91,1:37.62,2,9.95,1:37.54
1,10.25,1:47.70,4,10.25,1:47.97,5,10.89,1:49.42,2,10.16,1:47.78,2,10.24,1:47.78
1,10.15,1:57.85,4,10.24,1:58.21,5,11.48,2:00.90,3,10.35,1:58.13,2,10.20,1:57.98
1,10.12,2:07.97,4,10.17,2:08.38,5,12.02,2:12.92,3,10.07,2:08.20,2,10.09,2:08.07
1,10.06,2:18.03,4,10.14,2:18.52,5,12.46,2:25.38,3,10.04,2:18.24,2,10.07,2:18.14
1,10.11,2:28.14,4,10.47,2:28.99,5,12.36,2:37.74,3,10.10,2:28.34,2,10.09,2:28.23
