Denis GRM POSITION,Denis GRM LAP TIME,Denis GRM ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Gellert PATAKI POSITION,Gellert PATAKI LAP TIME,Gellert PATAKI ELAPSED TIME
5,16.248,16.248,2,16.133,16.133,1,16.081,16.081,4,16.164,16.164,3,16.145,16.145
4,12.019,28.266,2,12.004,28.136,3,12.088,28.168,5,12.417,28.580,1,11.878,28.023
4,10.771,39.037,3,10.859,38.995,1,10.635,38.803,5,10.776,39.356,2,10.817,38.840
4,10.325,49.361,3,9.956,48.951,1,9.980,48.782,5,10.043,49.398,2,10.111,48.951
5,10.382,59.743,3,9.861,58.812,1,9.542,58.324,4,9.603,59.000,2,9.794,58.744
5,10.672,1:10.414,3,9.864,1:08.675,1,9.683,1:08.006,2,9.355,1:08.355,4,9.978,1:08.722
5,11.087,1:21.500,3,9.919,1:18.594,1,9.746,1:17.752,2,9.736,1:18.091,4,10.018,1:18.739
5,11.473,1:32.973,3,10.372,1:28.965,1,9.882,1:27.633,2,9.785,1:27.875,4,10.295,1:29.034
5,11.10,1:44.072,4,10.55,1:39.510,2,9.78,1:37.404,1,9.51,1:37.379,3,10.25,1:39.282
