YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,6.77,6.77,2,6.88,6.88,3,7.05,7.05,4,7.15,7.15
1,8.93,15.70,2,8.93,15.81,3,8.94,15.99,4,8.91,16.06
2,8.51,24.21,1,8.34,24.15,3,8.34,24.33,4,8.43,24.49
2,8.49,32.70,1,8.40,32.55,3,8.49,32.82,4,8.40,32.89
2,8.61,41.304,1,8.59,41.139,3,8.57,41.387,4,8.65,41.533
