Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
4,13.38,13.38,1,13.02,13.02,3,13.21,13.21,2,13.10,13.10
4,10.14,23.52,2,10.21,23.23,3,10.15,23.36,1,10.11,23.21
4,9.45,32.97,2,9.55,32.78,3,9.49,32.85,1,9.48,32.69
4,9.48,42.45,1,9.42,42.20,3,9.47,42.32,2,9.53,42.22
4,9.09,51.54,1,8.98,51.18,3,9.11,51.43,2,9.06,51.28
4,9.02,1:00.56,1,8.89,1:00.07,3,9.09,1:00.52,2,8.89,1:00.17
4,9.39,1:09.95,1,8.88,1:08.95,3,9.24,1:09.76,2,8.86,1:09.03
3,9.43,1:19.38,4,29.46,1:38.41,2,9.48,1:19.24,1,9.27,1:18.30
3,9.65,1:29.026,0,,notime,2,9.61,1:28.849,1,9.46,1:27.755
