KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,DALRYMPLE Georgie POSITION,DALRYMPLE Georgie LAP TIME,DALRYMPLE Georgie ELAPSED TIME
4,13.19,13.19,3,13.12,13.12,5,13.30,13.30,1,13.09,13.09,1,13.09,13.09
4,9.71,22.90,3,9.58,22.70,5,9.83,23.13,2,9.47,22.56,1,9.15,22.24
4,9.17,32.07,2,9.19,31.89,5,9.12,32.25,3,9.36,31.92,1,9.36,31.60
4,9.27,41.34,2,9.28,41.17,5,9.24,41.49,3,9.36,41.28,1,9.25,40.85
3,9.27,50.61,2,9.20,50.37,5,9.34,50.83,3,9.33,50.61,1,9.42,50.27
3,9.29,59.90,1,9.33,59.70,5,9.38,1:00.21,4,9.35,59.96,2,9.60,59.87
1,9.28,1:09.18,2,9.49,1:09.19,3,9.61,1:09.82,5,10.18,1:10.14,4,10.00,1:09.87
1,9.54,1:18.72,2,9.70,1:18.89,3,10.14,1:19.96,5,10.53,1:20.67,4,10.66,1:20.53
1,9.90,1:28.62,2,9.93,1:28.82,3,10.32,1:30.28,4,10.78,1:31.450,5,11.18,1:31.714
