PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,PARK Junghyun POSITION,PARK Junghyun LAP TIME,PARK Junghyun ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
2,11.30,11.30,3,11.48,11.48,1,11.23,11.23,5,11.60,11.60,4,11.52,11.52
2,17.83,29.13,3,17.89,29.37,1,17.74,28.97,4,18.03,29.63,5,18.25,29.77
2,17.30,46.43,3,17.41,46.78,1,17.22,46.19,4,17.35,46.98,5,17.36,47.13
2,15.37,1:01.80,3,15.20,1:01.98,1,15.51,1:01.70,4,15.24,1:02.22,5,15.23,1:02.36
3,14.58,1:16.38,4,14.56,1:16.54,1,14.52,1:16.22,2,14.10,1:16.32,5,14.22,1:16.58
3,11.98,1:28.36,5,12.09,1:28.63,2,12.00,1:28.22,1,11.79,1:28.11,4,11.88,1:28.46
3,11.26,1:39.62,5,11.18,1:39.81,2,11.25,1:39.47,1,11.29,1:39.40,4,11.24,1:39.70
3,9.91,1:49.53,5,9.92,1:49.73,2,9.98,1:49.45,1,9.92,1:49.32,4,9.94,1:49.64
3,9.94,1:59.47,5,9.86,1:59.59,2,9.90,1:59.35,1,9.92,1:59.24,4,9.86,1:59.50
3,9.82,2:09.29,5,9.80,2:09.39,2,9.84,2:09.19,1,9.85,2:09.09,4,9.83,2:09.33
3,9.64,2:18.93,4,9.62,2:19.01,2,9.64,2:18.83,1,9.65,2:18.74,5,9.82,2:19.15
4,9.77,2:28.70,3,9.60,2:28.61,2,9.76,2:28.59,1,9.75,2:28.49,5,9.68,2:28.83
3,9.62,2:38.32,1,9.34,2:37.95,4,9.97,2:38.56,2,9.78,2:38.27,5,9.96,2:38.79
0,,PHOTO,1,9.57,2:47.52,4,10.26,2:48.82,0,,PHOTO,5,10.20,2:48.967
