KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
1,6.85,6.85,3,7.13,7.13,2,6.98,6.98,4,7.23,7.23
1,8.94,15.79,3,8.98,16.11,2,8.96,15.94,4,9.09,16.32
1,8.56,24.35,3,8.52,24.63,2,8.55,24.49,4,8.64,24.96
2,8.95,33.30,3,8.82,33.45,1,8.79,33.28,4,8.68,33.64
1,8.93,42.221,2,8.97,42.413,3,9.24,42.520,4,8.96,42.591
