RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME
2,7.50,7.50,1,7.32,7.32,3,7.69,7.69,4,7.85,7.85
2,9.50,17.00,1,9.46,16.78,3,9.44,17.13,4,9.64,17.49
3,9.18,26.18,1,9.03,25.81,2,8.89,26.02,4,9.64,27.13
3,9.40,35.58,1,9.18,34.99,2,9.12,35.14,4,9.87,37.00
3,9.58,45.16,2,9.45,44.44,1,9.18,44.32,4,10.29,47.29
