Sam van SPEYBROECK POSITION,Sam van SPEYBROECK LAP TIME,Sam van SPEYBROECK ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
3,14.23,14.23,1,14.15,14.15,4,14.46,14.46,5,14.58,14.58,2,14.21,14.21
1,11.10,25.33,2,11.32,25.47,5,11.43,25.89,4,11.13,25.71,3,11.40,25.61
1,11.00,36.33,3,11.05,36.52,5,10.92,36.81,4,10.92,36.63,2,10.80,36.41
2,10.76,47.09,3,10.66,47.18,5,10.66,47.47,4,10.71,47.34,1,10.56,46.97
3,9.96,57.05,2,9.74,56.92,5,9.78,57.25,4,9.80,57.14,1,9.84,56.81
4,9.57,1:06.62,2,9.43,1:06.35,5,9.50,1:06.75,3,9.44,1:06.58,1,9.46,1:06.27
5,9.60,1:16.22,2,9.30,1:15.65,4,9.33,1:16.08,3,9.18,1:15.76,1,9.36,1:15.63
5,9.79,1:26.01,1,9.21,1:24.86,4,9.28,1:25.36,2,9.23,1:24.99,3,9.54,1:25.17
5,10.60,1:36.607,2,9.39,1:34.242,4,9.51,1:34.864,1,9.09,1:34.072,3,9.58,1:34.748
