NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME
1,12.46,12.46,4,12.80,12.80,2,12.55,12.55,3,12.68,12.68
1,9.74,22.20,4,9.65,22.45,2,9.74,22.29,3,9.70,22.38
1,9.26,31.46,4,9.25,31.70,2,9.22,31.51,3,9.14,31.52
1,9.23,40.69,3,9.02,40.72,4,9.25,40.76,1,9.17,40.69
4,9.38,50.07,1,9.03,49.75,3,9.14,49.90,2,9.15,49.84
4,9.21,59.28,1,9.11,58.86,3,9.12,59.02,2,9.11,58.95
4,9.34,1:08.62,1,9.05,1:07.91,3,9.07,1:08.09,2,9.06,1:08.01
4,9.81,1:18.43,1,9.03,1:16.94,2,8.91,1:17.00,3,9.12,1:17.13
4,10.19,1:28.62,1,9.16,1:26.10,3,9.39,1:26.39,2,9.10,1:26.23
