NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
5,9.04,9.04,3,8.74,8.74,2,8.57,8.57,1,8.45,8.45,4,8.87,8.87
5,12.00,21.04,4,12.11,20.85,3,12.19,20.76,2,12.07,20.52,1,11.57,20.44
5,10.85,31.89,3,10.78,31.63,4,10.96,31.72,1,10.98,31.50,2,11.07,31.51
5,10.46,42.35,3,10.51,42.14,4,10.50,42.22,1,10.48,41.98,2,10.57,42.08
5,10.75,53.10,2,10.66,52.80,4,10.77,52.99,1,10.71,52.69,3,10.74,52.82
5,10.15,1:03.25,3,10.10,1:02.90,4,10.05,1:03.04,2,10.13,1:02.82,1,9.90,1:02.72
5,10.18,1:13.43,1,10.21,1:13.11,4,10.25,1:13.29,3,10.39,1:13.21,2,10.40,1:13.12
5,9.94,1:23.37,2,9.81,1:22.92,4,9.81,1:23.10,3,9.80,1:23.01,1,9.76,1:22.88
5,9.76,1:33.13,2,9.91,1:32.83,4,9.92,1:33.02,3,9.91,1:32.92,1,9.86,1:32.74
5,10.20,1:43.33,2,9.96,1:42.79,3,9.86,1:42.88,4,10.06,1:42.98,1,10.02,1:42.76
5,9.56,1:52.89,1,9.73,1:52.52,3,9.88,1:52.76,4,9.81,1:52.79,2,9.89,1:52.65
2,9.50,2:02.39,1,9.77,2:02.29,5,9.95,2:02.71,4,9.70,2:02.49,3,9.75,2:02.40
1,8.78,2:11.17,2,9.89,2:12.18,5,10.15,2:12.86,4,9.85,2:12.34,3,9.87,2:12.27
1,9.33,2:20.492,3,10.27,2:22.450,4,10.54,2:23.399,2,9.98,2:22.316,0,,PEN
