Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
1,15.01,15.01,5,15.23,15.23,2,15.09,15.09,3,15.12,15.12,4,15.20,15.20
2,10.95,25.96,5,11.07,26.30,1,10.79,25.88,3,10.93,26.05,4,10.98,26.18
2,11.01,36.97,5,10.98,37.28,1,10.99,36.87,3,11.01,37.06,4,10.99,37.17
1,10.87,47.84,5,11.00,48.28,2,11.00,47.87,3,10.93,47.99,4,10.97,48.14
2,9.83,57.67,5,9.96,58.24,4,10.34,58.21,1,9.54,57.53,3,10.02,58.16
2,9.64,1:07.31,5,9.97,1:08.21,4,9.75,1:07.96,1,9.65,1:07.18,3,9.43,1:07.59
2,9.63,1:16.94,5,10.07,1:18.28,4,9.91,1:17.87,1,9.63,1:16.81,3,9.73,1:17.32
2,9.56,1:26.50,5,10.48,1:28.76,4,10.21,1:28.08,1,9.56,1:26.37,3,10.17,1:27.49
2,9.54,1:36.038,5,10.90,1:39.653,4,10.31,1:38.385,1,9.52,1:35.884,3,10.75,1:38.232
