Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
1,6.84,6.84,3,7.06,7.06,2,6.95,6.95,4,7.19,7.19
1,8.86,15.70,3,9.05,16.11,2,8.93,15.88,4,9.03,16.22
1,8.51,24.21,3,8.47,24.58,2,8.47,24.35,4,8.54,24.76
1,8.69,32.90,3,8.60,33.18,2,8.61,32.96,4,8.68,33.44
2,9.13,42.030,3,8.92,42.094,1,8.97,41.925,4,8.94,42.380
