Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,8.34,8.34,3,8.50,8.50,5,9.02,9.02,2,8.43,8.43,4,8.86,8.86
1,12.30,20.64,3,12.45,20.95,5,12.40,21.42,2,12.50,20.93,4,12.49,21.35
1,11.43,32.07,3,11.44,32.39,5,11.26,32.68,2,11.39,32.32,4,11.12,32.47
1,11.73,43.80,2,11.70,44.09,5,11.65,44.33,3,11.81,44.13,4,11.70,44.17
1,11.30,55.10,3,11.17,55.26,5,11.32,55.65,2,11.00,55.13,4,11.34,55.51
3,10.51,1:05.61,4,10.81,1:06.07,1,9.84,1:05.49,2,10.46,1:05.59,5,22.98,1:18.49
1,9.67,1:15.28,4,9.55,1:15.62,3,9.96,1:15.45,2,9.69,1:15.28,5,18.40,1:36.89
3,9.89,1:25.17,4,9.59,1:25.21,1,9.68,1:25.13,2,9.88,1:25.16,5,13.71,1:50.60
1,9.12,1:34.29,4,9.27,1:34.48,2,9.30,1:34.43,3,9.30,1:34.46,5,12.91,2:03.51
2,9.05,1:43.34,4,8.93,1:43.41,3,8.93,1:43.36,1,8.77,1:43.23,5,12.30,2:15.81
3,8.90,1:52.24,4,8.91,1:52.32,1,8.80,1:52.16,2,8.94,1:52.17,5,12.02,2:27.83
3,8.87,2:01.11,1,8.61,2:00.93,4,9.39,2:01.55,2,8.92,2:01.09,5,10.64,2:38.47
2,8.76,2:09.87,1,8.86,2:09.79,4,8.99,2:10.54,3,8.93,2:10.02,5,10.17,2:48.64
3,9.53,2:19.396,1,9.24,2:19.027,4,9.12,2:19.653,2,9.33,2:19.347,5,10.26,2:58.895
