LIU Xiao Liang POSITION,LIU Xiao Liang LAP TIME,LIU Xiao Liang ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME,Alex BOISVERT-LACROIX POSITION,Alex BOISVERT-LACROIX LAP TIME,Alex BOISVERT-LACROIX ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME
3,7.780,7.780,1,7.460,7.460,2,7.520,7.520,4,7.890,7.890,5,8.270,8.270,0,,
3,10.590,18.380,2,10.900,18.370,1,10.780,18.300,5,10.740,18.640,4,10.280,18.550,6,0.000,1:11.410
3,10.850,29.240,2,10.780,29.150,1,10.820,29.130,5,10.680,29.320,4,10.750,29.310,6,9.460,1:20.870
2,11.050,40.290,4,11.350,40.510,1,11.070,40.200,3,11.090,40.420,5,11.220,40.530,0,,
2,10.890,51.180,4,10.740,51.250,1,10.900,51.110,3,10.800,51.220,5,10.890,51.430,0,,
1,10.490,1:01.670,0,,,2,10.670,1:01.780,4,11.080,1:02.310,2,10.350,1:01.780,0,,
2,9.480,1:11.160,0,,,1,9.270,1:11.060,4,9.140,1:11.460,3,9.450,1:11.240,0,,
2,9.100,1:20.260,0,,,1,9.100,1:20.160,4,9.280,1:20.740,3,9.220,1:20.460,0,,
3,9.400,1:29.670,0,,,1,9.280,1:29.450,2,8.730,1:29.470,4,9.230,1:29.700,5,0.000,1:30.180
4,9.170,1:38.850,0,,,2,9.290,1:38.740,3,9.340,1:38.810,1,8.670,1:38.370,5,9.740,1:39.930
3,9.110,1:47.960,0,,,2,9.060,1:47.800,5,11.400,1:50.220,1,8.870,1:47.250,4,10.240,1:50.180
3,9.270,1:57.240,0,,,2,9.360,1:57.170,4,10.530,2:00.750,1,9.140,1:56.390,5,10.710,2:00.900
2,9.640,2:06.890,0,,,3,10.050,2:07.230,5,11.860,2:12.620,1,9.500,2:05.900,4,10.590,2:11.490
2,10.110,2:17.000,0,,,3,10.420,2:17.650,5,12.220,2:24.840,1,9.880,2:15.780,4,10.930,2:22.420
