Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
4,12.68,12.68,2,12.50,12.50,1,12.33,12.33,3,12.55,12.55
4,9.88,22.56,1,9.64,22.15,2,9.86,22.19,3,9.78,22.33
4,9.75,32.31,1,9.77,31.92,2,9.88,32.08,3,9.83,32.17
4,9.68,42.00,2,9.86,41.79,1,9.69,41.77,3,9.78,41.95
4,9.81,51.81,1,9.69,51.49,2,9.79,51.56,3,9.73,51.68
3,9.56,1:01.37,0,,,1,9.44,1:01.01,2,9.53,1:01.22
3,9.26,1:10.64,1,9.44,1:10.38,2,9.50,1:10.51,4,9.48,1:10.71
1,9.13,1:19.77,2,9.41,1:19.79,3,9.35,1:19.86,4,9.40,1:20.11
2,9.52,1:29.288,1,9.46,1:29.243,4,9.95,1:29.808,3,9.27,1:29.375
