Stephane PERIER POSITION,Stephane PERIER LAP TIME,Stephane PERIER ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME
3,6.91,6.91,1,6.71,6.71,2,6.83,6.83,4,7.04,7.04
3,9.32,16.23,2,9.40,16.11,1,9.25,16.08,4,9.29,16.33
2,8.76,25.00,1,8.85,24.97,4,9.00,25.09,3,8.67,25.00
1,8.97,33.97,2,9.12,34.09,4,9.20,34.29,3,9.27,34.28
1,9.53,43.499,0,,DQ,3,9.45,43.737,2,9.24,43.516
