GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,BELARUS POSITION,BELARUS LAP TIME,BELARUS ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME
2,12.80,12.80,1,12.76,12.76,4,13.26,13.26,3,13.02,13.02
1,9.56,22.36,2,9.71,22.47,4,9.61,22.87,3,9.71,22.73
2,9.87,32.23,1,9.58,32.05,4,9.48,32.35,3,9.55,32.28
2,9.86,42.09,1,9.69,41.74,4,10.02,42.37,3,9.97,42.25
2,9.39,51.48,1,9.54,51.28,4,9.57,51.94,3,9.34,51.59
2,9.47,1:00.95,1,9.54,1:00.82,4,10.15,1:02.09,3,9.50,1:01.09
2,9.53,1:10.48,1,9.54,1:10.36,4,9.96,1:12.05,3,9.56,1:10.65
2,9.56,1:20.04,1,9.58,1:19.94,4,9.48,1:21.53,3,9.50,1:20.15
3,9.65,1:29.69,1,9.36,1:29.30,4,9.63,1:31.16,2,9.53,1:29.68
3,9.44,1:39.13,1,9.23,1:38.53,4,9.77,1:40.93,2,9.22,1:38.90
3,9.30,1:48.43,1,9.37,1:47.90,4,9.66,1:50.59,2,9.18,1:48.08
3,9.40,1:57.83,1,9.39,1:57.29,4,9.79,2:00.38,2,9.33,1:57.41
3,9.21,2:07.04,1,9.52,2:06.81,4,9.97,2:10.35,2,9.53,2:06.94
3,9.44,2:16.48,1,9.39,2:16.20,4,9.77,2:20.12,2,9.39,2:16.33
3,9.40,2:25.88,1,9.34,2:25.54,4,9.90,2:30.02,2,9.37,2:25.70
3,9.53,2:35.41,1,9.29,2:34.83,4,9.91,2:39.93,2,9.27,2:34.97
3,9.43,2:44.84,1,9.46,2:44.29,4,9.90,2:49.83,2,9.41,2:44.38
3,9.42,2:54.26,1,9.39,2:53.68,4,10.03,2:59.86,2,9.53,2:53.91
3,9.23,3:03.49,1,9.46,3:03.14,4,10.14,3:10.00,2,9.48,3:03.39
3,9.39,3:12.88,1,9.34,3:12.48,4,10.14,3:20.14,2,9.39,3:12.78
3,9.47,3:22.35,1,9.30,3:21.78,4,10.10,3:30.24,2,9.28,3:22.06
3,9.56,3:31.91,1,9.22,3:31.00,4,10.04,3:40.28,2,9.22,3:31.28
3,9.48,3:41.39,1,9.38,3:40.38,4,10.10,3:50.38,2,9.34,3:40.62
3,9.49,3:50.88,1,9.72,3:50.10,4,10.30,4:00.68,2,9.61,3:50.23
3,9.48,4:00.36,1,9.46,3:59.56,4,10.40,4:11.08,2,9.60,3:59.83
2,9.16,4:09.52,1,9.36,4:08.92,4,10.18,4:21.26,3,10.14,4:09.97
0,,PHOTO,1,9.54,4:18.46,4,10.03,4:31.29,0,,PHOTO
