Cyril LAFARGE POSITION,Cyril LAFARGE LAP TIME,Cyril LAFARGE ELAPSED TIME,Marco BERTOLDI POSITION,Marco BERTOLDI LAP TIME,Marco BERTOLDI ELAPSED TIME,Vladimir KUZOVNIKOV POSITION,Vladimir KUZOVNIKOV LAP TIME,Vladimir KUZOVNIKOV ELAPSED TIME,Grant HESTER POSITION,Grant HESTER LAP TIME,Grant HESTER ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME
1,14.421,14.421,5,18.354,18.354,2,14.645,14.645,3,14.699,14.699,4,14.927,14.927
1,11.621,26.042,4,8.159,26.513,2,11.723,26.368,3,11.738,26.437,5,11.693,26.620
1,11.396,37.438,3,11.253,37.766,2,11.281,37.649,5,11.728,38.165,4,11.297,37.918
2,9.870,47.308,4,9.836,47.602,3,9.861,47.509,5,9.521,47.685,1,9.359,47.276
1,9.662,56.969,4,9.503,57.105,3,9.550,57.060,5,9.944,57.629,2,9.698,56.974
3,9.680,1:06.649,4,9.775,1:06.880,2,9.577,1:06.637,5,9.740,1:07.368,1,9.610,1:06.584
2,9.445,1:16.095,4,9.427,1:16.307,3,9.545,1:16.182,5,9.794,1:17.163,1,9.505,1:16.088
2,9.483,1:25.578,4,9.661,1:25.968,3,9.570,1:25.752,5,10.255,1:27.418,1,9.393,1:25.482
2,9.757,1:35.334,3,9.418,1:35.386,4,9.769,1:35.521,5,10.298,1:37.716,1,9.835,1:35.316
