Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME
1,10.48,10.48,3,10.79,10.79,4,10.90,10.90,2,10.65,10.65,5,11.05,11.05
1,15.50,25.98,3,15.55,26.34,4,15.53,26.43,2,15.48,26.13,5,15.51,26.56
1,14.67,40.65,3,14.57,40.91,4,14.66,41.09,2,14.65,40.78,5,14.66,41.22
1,14.31,54.96,3,14.32,55.23,4,14.32,55.41,2,14.27,55.05,5,14.38,55.60
2,13.63,1:08.59,3,13.51,1:08.74,4,13.52,1:08.93,1,13.45,1:08.50,5,13.46,1:09.06
2,12.50,1:21.09,3,12.44,1:21.18,4,12.29,1:21.22,1,12.46,1:20.96,5,12.30,1:21.36
2,12.27,1:33.36,3,12.30,1:33.48,4,12.36,1:33.58,1,12.32,1:33.28,5,12.33,1:33.69
2,11.89,1:45.25,4,11.91,1:45.39,3,11.70,1:45.28,1,11.79,1:45.07,5,12.00,1:45.69
3,10.66,1:55.91,4,10.65,1:56.04,2,10.53,1:55.81,1,10.62,1:55.69,5,11.22,1:56.91
3,9.74,2:05.65,4,9.73,2:05.77,2,9.78,2:05.59,1,9.80,2:05.49,5,10.65,2:07.56
4,9.38,2:15.03,3,9.20,2:14.97,1,9.13,2:14.72,2,9.36,2:14.85,5,10.66,2:18.22
3,8.90,2:23.93,2,8.95,2:23.92,1,8.87,2:23.59,4,9.16,2:24.01,5,11.21,2:29.43
2,8.71,2:32.64,3,9.02,2:32.94,1,8.86,2:32.45,4,9.43,2:33.44,5,11.76,2:41.19
2,8.91,2:41.541,3,9.58,2:42.516,1,9.06,2:41.501,4,9.78,2:43.220,5,13.19,2:54.375
