HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME
2,8.67,8.67,1,8.54,,3,8.77,8.77,3,8.77,8.77,5,8.84,8.84,6,8.95,8.95,7,9.17,
3,11.32,19.99,2,11.25,,1,10.95,19.72,4,11.39,20.16,5,11.42,20.26,6,11.41,20.36,7,11.31,
3,10.00,29.99,1,9.91,,2,10.04,29.76,4,9.95,30.11,5,9.94,30.20,6,9.85,30.21,7,9.95,
2,9.65,39.64,1,9.92,,3,9.96,39.72,4,9.81,39.92,5,9.80,40.00,5,9.79,40.00,7,9.82,
1,9.34,48.98,2,9.38,,3,9.39,49.11,4,9.33,49.25,5,9.36,49.36,6,9.55,49.55,7,9.40,
3,9.57,58.55,1,9.35,,2,9.33,58.44,4,9.42,58.67,5,9.39,58.75,6,9.23,58.78,7,9.29,
2,8.94,1:07.49,1,9.07,,3,9.13,1:07.57,4,9.01,1:07.68,6,9.04,1:07.79,5,8.96,1:07.74,7,9.08,
1,8.90,1:16.39,2,9.06,,5,9.11,1:16.68,4,8.89,1:16.57,6,8.95,1:16.74,3,8.80,1:16.54,7,8.85,
1,9.06,1:25.45,6,9.76,,2,9.01,1:25.69,5,9.60,1:26.17,3,9.04,1:25.78,7,9.72,1:26.26,4,9.02,
1,9.13,1:34.58,7,9.89,,2,9.33,1:35.02,5,9.30,1:35.47,3,9.28,1:35.06,6,9.67,1:35.93,4,9.30,
1,9.20,1:43.78,7,9.79,,5,9.66,1:44.68,4,8.96,1:44.43,2,9.12,1:44.18,6,9.93,1:45.86,3,9.15,
1,9.33,1:53.11,6,9.63,,5,10.36,1:55.04,2,8.91,1:53.34,4,9.47,1:53.65,7,10.24,1:56.10,3,9.01,
1,9.45,2:02.56,5,9.85,,6,10.88,2:05.92,3,9.82,2:03.16,4,9.81,2:03.46,7,11.14,2:07.24,2,9.67,
1,9.82,2:12.381,5,10.32,,4,11.91,2:17.829,2,9.72,2:12.881,3,10.30,2:13.744,5,12.09,2:19.332,2,9.68,
