SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,LIAO Wei-Cheng POSITION,LIAO Wei-Cheng LAP TIME,LIAO Wei-Cheng ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME
2,12.38,12.38,4,12.57,12.57,5,12.74,12.74,1,12.20,12.20,3,12.48,12.48
2,9.48,21.86,4,9.52,22.09,5,9.52,22.26,1,9.43,21.63,3,9.51,21.99
2,9.60,31.46,4,9.55,31.64,5,9.50,31.76,1,9.36,30.99,3,9.55,31.54
2,10.03,41.49,4,10.04,41.68,5,10.03,41.79,1,9.60,40.59,3,10.04,41.58
2,10.05,51.54,4,10.05,51.73,5,10.05,51.84,1,9.96,50.55,3,10.05,51.63
2,9.68,1:01.22,4,9.70,1:01.43,5,9.75,1:01.59,1,10.66,1:01.21,3,9.69,1:01.32
1,9.16,1:10.38,3,9.13,1:10.56,4,9.97,1:11.56,5,11.07,1:12.28,2,9.12,1:10.44
2,9.19,1:19.57,3,9.20,1:19.76,4,9.81,1:21.37,5,11.81,1:24.09,1,9.12,1:19.56
3,9.31,1:28.88,2,8.77,1:28.53,4,10.02,1:31.39,5,12.37,1:36.46,1,8.90,1:28.46
