Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
2,13.06,13.06,4,13.21,13.21,1,12.59,12.59,3,13.15,13.15
4,9.99,23.05,3,9.82,23.03,1,10.01,22.61,2,9.88,23.03
2,9.53,32.58,4,30.33,53.36,1,9.55,32.17,3,9.70,32.74
2,9.82,42.41,4,22.32,1:15.69,1,10.20,42.37,3,9.72,42.47
2,10.15,52.57,4,11.29,1:26.99,1,9.83,52.21,3,10.17,52.64
3,20.09,1:12.66,0,,,1,10.12,1:02.33,2,10.12,1:02.77
0,,,0,,,1,9.94,1:12.27,2,9.88,1:12.66
2,0.00,1:22.31,0,,,1,9.86,1:22.13,3,9.79,1:22.45
0,,DQ,3,,2:08.912,1,10.06,1:32.187,2,9.90,1:32.346
