Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
2,7.39,7.39,1,7.28,7.28,3,7.52,7.52,4,7.68,7.68
2,9.46,16.85,1,9.47,16.75,3,9.52,17.04,4,9.51,17.19
2,9.00,25.85,1,9.01,25.76,3,9.23,26.27,4,9.17,26.36
1,9.00,34.85,2,9.33,35.09,3,9.29,35.56,4,9.29,35.65
1,9.35,44.200,2,9.40,44.482,4,9.51,45.063,3,9.41,45.051
