Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Yaroslav KARPOUKHIN POSITION,Yaroslav KARPOUKHIN LAP TIME,Yaroslav KARPOUKHIN ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Miodrag POPOVIC POSITION,Miodrag POPOVIC LAP TIME,Miodrag POPOVIC ELAPSED TIME
3,15.067,15.067,1,14.908,14.908,4,15.098,15.098,2,15.048,15.048
2,11.590,26.657,1,11.656,26.563,3,11.692,26.789,4,12.176,27.224
2,10.910,37.567,3,11.228,37.791,1,10.742,37.531,4,11.629,38.852
2,10.712,48.278,1,10.368,48.158,3,10.749,48.279,4,11.742,50.594
3,10.419,58.697,2,10.398,58.556,1,10.249,58.528,4,11.433,1:02.027
3,9.607,1:08.303,1,9.683,1:08.239,2,9.762,1:08.289,4,11.405,1:13.431
3,9.448,1:17.751,1,9.222,1:17.461,2,9.302,1:17.590,4,11.367,1:24.798
2,8.975,1:26.726,3,9.813,1:27.273,1,9.115,1:26.705,4,11.999,1:36.796
1,9.14,1:35.859,3,10.10,1:37.368,2,9.41,1:36.110,4,11.34,1:48.128
