Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME,Mylan ELZINK POSITION,Mylan ELZINK LAP TIME,Mylan ELZINK ELAPSED TIME
1,13.12,13.12,5,14.09,14.09,2,13.17,13.17,4,13.79,13.79,3,13.57,13.57
1,9.50,22.62,4,9.03,23.12,2,9.64,22.81,5,9.35,23.14,3,9.53,23.10
1,9.19,31.81,5,9.61,32.73,2,9.12,31.93,4,9.04,32.18,3,9.06,32.16
1,9.29,41.10,5,9.95,42.68,2,9.32,41.25,3,9.30,41.48,4,9.65,41.81
2,9.43,50.53,5,10.97,53.65,3,9.58,50.83,1,9.01,50.49,4,9.08,50.89
4,10.14,1:00.67,5,11.65,1:05.30,3,9.56,1:00.39,1,9.01,59.50,2,9.41,1:00.30
4,9.99,1:10.66,5,11.04,1:16.34,3,9.92,1:10.31,1,9.25,1:08.75,2,9.38,1:09.68
4,9.87,1:20.53,5,12.70,1:29.04,3,9.46,1:19.77,1,9.22,1:17.97,2,9.61,1:19.29
4,10.85,1:31.374,5,12.42,1:41.460,3,10.29,1:30.060,1,10.37,1:28.331,2,9.89,1:29.176
