Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Milos APELTAUER POSITION,Milos APELTAUER LAP TIME,Milos APELTAUER ELAPSED TIME
1,13.02,13.02,2,13.11,13.11,3,13.23,13.23,4,13.35,13.35
1,10.40,23.42,2,10.41,23.52,3,10.42,23.65,4,10.42,23.77
1,10.27,33.69,2,10.30,33.82,3,10.27,33.92,4,10.24,34.01
1,10.30,43.99,2,10.26,44.08,3,10.23,44.15,4,10.30,44.31
2,9.54,53.53,3,9.57,53.65,1,9.27,53.42,4,9.48,53.79
1,9.07,1:02.60,3,9.15,1:02.80,2,9.21,1:02.63,4,9.17,1:02.96
1,9.17,1:11.77,3,9.37,1:12.17,2,9.42,1:12.05,4,9.22,1:12.18
1,9.26,1:21.03,4,9.48,1:21.65,2,9.41,1:21.46,3,9.37,1:21.55
1,9.56,1:30.587,2,9.44,1:31.085,3,9.65,1:31.109,4,9.66,1:31.203
