Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
1,9.41,9.41,3,9.60,9.60,4,9.64,9.64,2,9.52,9.52
1,13.67,23.08,3,13.71,23.31,4,13.79,23.43,2,13.65,23.17
1,13.23,36.31,3,13.26,36.57,4,13.26,36.69,2,13.24,36.41
1,13.15,49.46,3,13.12,49.69,4,13.17,49.86,2,13.14,49.55
1,13.06,1:02.52,3,13.07,1:02.76,4,13.06,1:02.92,2,13.09,1:02.64
1,12.51,1:15.03,3,12.54,1:15.30,4,12.51,1:15.43,2,12.49,1:15.13
1,11.94,1:26.97,3,11.85,1:27.15,4,11.84,1:27.27,2,11.93,1:27.06
1,11.48,1:38.45,3,11.47,1:38.62,4,11.43,1:38.70,2,11.43,1:38.49
2,9.99,1:48.44,3,9.91,1:48.53,4,9.84,1:48.54,1,9.83,1:48.32
2,9.43,1:57.87,3,9.42,1:57.95,4,9.61,1:58.15,1,9.46,1:57.78
3,9.36,2:07.23,2,9.21,2:07.16,4,9.26,2:07.41,1,9.23,2:07.01
3,9.18,2:16.41,2,9.16,2:16.32,4,9.25,2:16.66,1,9.22,2:16.23
3,9.30,2:25.71,2,9.36,2:25.68,4,9.58,2:26.24,1,9.44,2:25.67
2,9.97,2:35.672,3,10.18,2:35.852,4,10.22,2:36.451,1,9.90,2:35.566
