Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
1,8.47,8.47,5,9.08,9.08,2,8.62,8.62,7,9.40,9.40,4,8.92,8.92,3,8.76,8.76,6,9.22,9.22
1,11.51,19.98,4,11.38,20.46,2,11.52,20.14,7,11.41,20.81,5,11.67,20.59,3,11.52,20.28,6,11.47,20.69
1,10.36,30.34,4,10.23,30.69,2,10.32,30.46,6,10.02,30.83,5,10.19,30.78,3,10.29,30.57,7,10.19,30.88
1,9.84,40.18,5,9.81,40.50,2,9.82,40.28,4,9.59,40.42,6,9.84,40.62,3,9.79,40.36,7,9.83,40.71
1,9.71,49.89,5,9.79,50.29,2,9.72,50.00,4,9.77,50.19,6,9.76,50.38,3,9.74,50.10,7,9.76,50.47
1,9.49,59.38,5,9.49,59.78,2,9.48,59.48,4,9.45,59.64,6,9.48,59.86,3,9.47,59.57,7,9.48,59.95
1,9.46,1:08.84,5,9.49,1:09.27,2,9.47,1:08.95,4,9.47,1:09.11,6,9.48,1:09.34,3,9.47,1:09.04,7,9.48,1:09.43
1,9.50,1:18.34,5,9.37,1:18.64,2,9.49,1:18.44,3,9.42,1:18.53,6,9.43,1:18.77,4,9.50,1:18.54,7,9.45,1:18.88
1,9.27,1:27.61,3,9.10,1:27.74,2,9.18,1:27.62,6,9.34,1:27.87,4,8.98,1:27.75,5,9.23,1:27.77,7,9.01,1:27.89
7,9.61,1:37.22,1,8.84,1:36.58,2,9.10,1:36.72,6,9.21,1:37.08,3,9.07,1:36.82,4,9.15,1:36.92,5,9.12,1:37.01
7,9.13,1:46.35,1,8.88,1:45.46,2,9.12,1:45.84,6,9.08,1:46.16,3,9.10,1:45.92,4,9.11,1:46.03,5,9.11,1:46.12
7,9.16,1:55.51,1,9.03,1:54.49,3,9.27,1:55.11,4,9.07,1:55.23,2,9.10,1:55.02,5,9.25,1:55.28,6,9.26,1:55.38
7,9.34,2:04.85,1,9.32,2:03.81,5,9.55,2:04.66,3,9.05,2:04.28,2,9.17,2:04.19,4,9.25,2:04.53,6,9.30,2:04.68
5,9.50,2:14.347,1,9.55,2:13.359,0,,PEN,3,9.34,2:13.620,2,9.27,2:13.452,6,32.93,2:37.456,4,9.26,2:13.932
