Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,CHUNG Hsiao-Ying POSITION,CHUNG Hsiao-Ying LAP TIME,CHUNG Hsiao-Ying ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
2,13.33,13.33,1,13.22,13.22,5,13.73,13.73,3,13.42,13.42,4,13.59,13.59
1,10.47,23.80,2,10.62,23.84,5,10.55,24.28,3,10.57,23.99,4,10.51,24.10
2,10.17,33.97,1,10.02,33.86,5,10.07,34.35,3,10.12,34.11,4,10.08,34.18
2,10.26,44.23,1,10.24,44.10,5,10.30,44.65,3,10.26,44.37,4,10.30,44.48
2,10.05,54.28,1,10.04,54.14,5,10.10,54.75,3,10.01,54.38,4,9.98,54.46
2,9.94,1:04.22,1,9.94,1:04.08,5,10.30,1:05.05,3,9.97,1:04.35,4,10.01,1:04.47
3,9.85,1:14.07,2,9.83,1:13.91,5,10.82,1:15.87,1,9.51,1:13.86,4,9.73,1:14.20
3,9.60,1:23.67,2,9.66,1:23.57,5,11.46,1:27.33,1,9.23,1:23.09,4,9.73,1:23.93
3,9.90,1:33.568,2,9.94,1:33.509,5,11.80,1:39.127,1,9.43,1:32.512,4,9.93,1:33.857
