Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
1,6.82,6.82,2,6.93,6.93,3,7.08,7.08,5,7.30,7.30,4,7.19,7.19
1,8.83,15.65,2,8.73,15.66,3,8.73,15.81,5,8.74,16.04,4,8.76,15.95
2,8.48,24.13,1,8.24,23.90,3,8.36,24.17,5,8.31,24.35,4,8.34,24.29
3,8.63,32.76,1,8.43,32.33,2,8.39,32.56,4,8.52,32.87,4,8.58,32.87
4,8.85,41.586,1,8.58,40.91,2,8.40,40.96,5,8.87,41.716,3,8.62,41.469
