KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Tomas GIACOMELLI POSITION,Tomas GIACOMELLI LAP TIME,Tomas GIACOMELLI ELAPSED TIME
3,13.46,13.46,4,13.51,13.51,2,13.38,13.38,1,13.37,13.37
3,10.80,24.26,4,10.84,24.35,2,10.73,24.11,1,10.66,24.03
4,11.00,35.26,1,10.50,34.85,3,10.84,34.95,2,10.85,34.88
4,9.86,45.12,2,9.99,44.84,1,9.82,44.77,3,10.03,44.91
4,9.50,54.62,2,9.70,54.54,1,9.66,54.43,3,9.68,54.59
1,9.03,1:03.65,3,9.40,1:03.94,2,9.38,1:03.81,4,9.47,1:04.06
1,9.08,1:12.73,3,8.98,1:12.92,2,9.03,1:12.84,4,9.04,1:13.10
1,9.14,1:21.87,3,9.11,1:22.03,2,9.11,1:21.95,4,9.20,1:22.30
1,9.36,1:31.231,3,9.39,1:31.415,2,9.38,1:31.327,4,9.62,1:31.916
