AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,JUNG Yanghun Ben POSITION,JUNG Yanghun Ben LAP TIME,JUNG Yanghun Ben ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
1,6.85,6.85,2,6.98,6.98,3,7.16,7.16,4,7.28,7.28,5,7.40,7.40
1,8.83,15.68,2,8.80,15.78,3,8.72,15.88,4,8.77,16.05,5,8.80,16.20
1,8.29,23.97,2,8.27,24.05,3,8.28,24.16,4,8.21,24.26,5,8.33,24.53
2,8.41,32.38,1,8.30,32.35,3,8.41,32.57,4,8.41,32.67,5,8.41,32.94
1,8.71,41.09,2,9.00,41.35,3,8.90,41.47,4,8.91,41.58,5,8.85,41.79
