Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME
2,9.14,9.14,4,9.55,9.55,3,9.35,9.35,5,9.80,9.80,1,8.95,8.95
2,11.04,20.18,4,10.87,20.42,3,10.94,20.29,5,10.73,20.53,1,11.12,20.07
2,10.32,30.50,4,10.34,30.76,3,10.36,30.65,5,10.36,30.89,1,10.33,30.40
2,10.34,40.84,4,10.29,41.05,3,10.28,40.93,5,10.25,41.14,1,10.34,40.74
2,10.51,51.35,4,10.54,51.59,3,10.53,51.46,5,10.54,51.68,1,10.52,51.26
2,10.13,1:01.48,4,10.17,1:01.76,3,10.13,1:01.59,5,10.17,1:01.85,1,10.10,1:01.36
2,9.97,1:11.45,4,9.93,1:11.69,3,9.96,1:11.55,5,9.97,1:11.82,1,10.08,1:11.44
1,9.72,1:21.17,2,9.56,1:21.25,3,9.73,1:21.28,5,9.77,1:21.59,4,10.12,1:21.56
1,9.33,1:30.50,2,9.35,1:30.60,3,9.45,1:30.73,4,9.25,1:30.84,5,9.96,1:31.52
1,9.20,1:39.70,2,9.11,1:39.71,3,9.17,1:39.90,4,9.19,1:40.03,5,9.95,1:41.47
4,9.78,1:49.48,1,9.15,1:48.86,2,9.21,1:49.11,3,9.38,1:49.41,5,10.02,1:51.49
3,9.32,1:58.80,1,9.36,1:58.22,2,9.45,1:58.56,4,9.71,1:59.12,5,10.23,2:01.72
3,9.42,2:08.22,1,9.55,2:07.77,2,9.57,2:08.13,4,10.10,2:09.22,5,10.59,2:12.31
3,10.06,2:18.275,1,9.78,2:17.545,2,9.80,2:17.930,4,10.24,2:19.452,5,10.91,2:23.218
