KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Roger VALLVERDU IMBERNON POSITION,Roger VALLVERDU IMBERNON LAP TIME,Roger VALLVERDU IMBERNON ELAPSED TIME
2,9.92,9.92,5,10.40,10.40,1,9.78,9.78,3,10.08,10.08,4,10.26,10.26,6,10.52,10.52
2,14.01,23.93,5,13.89,24.29,1,14.01,23.79,3,13.93,24.01,4,13.86,24.12,6,13.91,24.43
2,13.38,37.31,5,13.35,37.64,1,13.38,37.17,3,13.40,37.41,4,13.40,37.52,6,13.32,37.75
2,13.54,50.85,5,13.54,51.18,1,13.54,50.71,3,13.55,50.96,4,13.56,51.08,6,13.57,51.32
2,13.61,1:04.46,5,13.60,1:04.78,1,13.63,1:04.34,3,13.61,1:04.57,4,13.60,1:04.68,6,13.59,1:04.91
2,13.53,1:17.99,5,13.45,1:18.23,1,13.55,1:17.89,3,13.52,1:18.09,4,13.45,1:18.13,6,13.47,1:18.38
1,11.61,1:29.60,4,11.72,1:29.95,3,11.93,1:29.82,5,11.87,1:29.96,2,11.57,1:29.70,6,11.88,1:30.26
1,10.27,1:39.87,4,10.16,1:40.11,3,10.24,1:40.06,5,10.19,1:40.15,2,10.28,1:39.98,6,10.07,1:40.33
1,10.28,1:50.15,3,10.25,1:50.36,4,10.40,1:50.46,5,10.42,1:50.57,2,10.29,1:50.27,6,10.51,1:50.84
3,10.11,2:00.26,1,9.68,2:00.04,4,9.84,2:00.30,5,10.06,2:00.63,2,9.94,2:00.21,6,10.12,2:00.96
4,9.57,2:09.83,1,9.07,2:09.11,3,9.11,2:09.41,5,9.89,2:10.52,2,9.02,2:09.23,6,10.05,2:11.01
4,9.67,2:19.50,1,8.99,2:18.10,3,9.15,2:18.56,5,10.21,2:20.73,2,9.00,2:18.23,6,10.34,2:21.35
4,9.93,2:29.43,2,9.06,2:27.16,3,9.52,2:28.08,5,10.53,2:31.26,1,8.90,2:27.13,6,10.95,2:32.30
4,10.41,2:39.835,2,9.43,2:36.590,3,9.81,2:37.889,5,11.04,2:42.297,1,9.01,2:36.136,6,11.35,2:43.641
