Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
1,6.860,6.860,2,7.040,7.040,3,7.180,7.180,4,7.310,7.310
1,9.210,16.080,2,9.150,16.200,3,9.300,16.490,4,9.240,16.560
1,8.810,24.890,2,9.010,25.210,3,8.790,25.280,4,8.860,25.420
1,9.020,33.910,3,9.240,34.450,2,8.650,33.930,4,9.140,34.570
2,9.240,43.160,4,9.900,44.350,1,9.200,43.130,3,9.150,43.730
