Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
2,12.88,12.88,1,12.76,12.76,3,13.02,13.02,4,13.13,13.13
1,9.59,22.47,2,9.83,22.59,3,9.67,22.69,4,9.66,22.79
2,9.83,32.30,1,9.63,32.22,3,9.72,32.41,4,9.70,32.49
1,9.64,41.94,2,9.74,41.96,3,9.70,42.11,4,9.71,42.20
1,9.44,51.38,2,9.52,51.48,3,9.47,51.58,4,9.48,51.68
1,9.56,1:00.94,2,9.54,1:01.02,3,9.56,1:01.14,4,9.58,1:01.26
2,9.79,1:10.73,1,9.65,1:10.67,3,9.61,1:10.75,4,9.63,1:10.89
2,9.89,1:20.62,3,9.96,1:20.63,1,9.81,1:20.56,4,9.81,1:20.70
3,22.65,1:43.261,0,,PEN,1,9.79,1:30.344,2,10.38,1:31.075
